Time (s), Voltage (V)
0.004,2.5
0.008,2.48
0.012,2.43
0.016,2.46
0.02,2.51
0.024,2.47
0.028,2.44
0.032,2.47
0.036,2.5
0.04,2.5
0.044,2.47
0.048,2.46
0.052,2.5
0.056,2.49
0.06,2.45
0.064,2.46
0.068,2.49
0.072,2.5
0.076,2.46
0.08,2.45
0.084,2.49
0.088,2.51
0.092,2.47
0.096,2.45
0.1,2.47
0.104,2.51
0.108,2.48
0.112,2.44
0.116,2.48
0.12,2.51
0.124,2.49
0.128,2.46
0.132,2.47
0.136,2.5
0.14,2.5
0.144,2.45
0.148,2.46
0.152,2.49
0.156,2.49
0.16,2.46
0.164,2.46
0.168,2.49
0.172,2.5
0.176,2.47
0.18,2.44
0.184,2.48
0.188,2.5
0.192,2.47
0.196,2.44
0.2,2.48
0.204,2.5
0.208,2.49
0.212,2.45
0.216,2.47
0.22,2.51
0.224,2.49
0.228,2.44
0.232,2.47
0.236,2.51
0.24,2.49
0.244,2.45
0.248,2.47
0.252,2.49
0.256,2.5
0.26,2.47
0.264,2.46
0.268,2.49
0.272,2.5
0.276,2.47
0.28,2.45
0.284,2.5
0.288,2.5
0.292,2.47
0.296,2.45
0.3,2.48
0.304,2.51
0.308,2.48
0.312,2.44
0.316,2.48
0.32,2.51
0.324,2.49
0.328,2.45
0.332,2.47
0.336,2.5
0.34,2.49
0.344,2.45
0.348,2.46
0.352,2.5
0.356,2.5
0.36,2.47
0.364,2.46
0.368,2.49
0.372,2.49
0.376,2.47
0.38,2.45
0.384,2.49
0.388,2.51
0.392,2.48
0.396,2.44
0.4,2.48
0.404,2.51
0.408,2.48
0.412,2.45
0.416,2.48
0.42,2.51
0.424,2.49
0.428,2.46
0.432,2.47
0.436,2.5
0.44,2.49
0.444,2.46
0.448,2.47
0.452,2.5
0.456,2.5
0.46,2.46
0.464,2.45
0.468,2.5
0.472,2.5
0.476,2.47
0.48,2.45
0.484,2.5
0.488,2.51
0.492,2.47
0.496,2.45
0.5,2.49
0.504,2.51
0.508,2.48
0.512,2.44
0.516,2.45
0.52,2.49
0.524,2.48
0.528,2.44
0.532,2.46
0.536,2.5
0.54,2.48
0.544,2.45
0.548,2.47
0.552,2.5
0.556,2.5
0.56,2.47
0.564,2.45
0.568,2.5
0.572,2.5
0.576,2.47
0.58,2.46
0.584,2.5
0.588,2.51
0.592,2.48
0.596,2.45
0.6,2.48
0.604,2.52
0.608,2.48
0.612,2.45
0.616,2.48
0.62,2.51
0.624,2.49
0.628,2.45
0.632,2.48
0.636,2.5
0.64,2.49
0.644,2.46
0.648,2.46
0.652,2.51
0.656,2.5
0.66,2.47
0.664,2.47
0.668,2.51
0.672,2.5
0.676,2.47
0.68,2.45
0.684,2.49
0.688,2.51
0.692,2.47
0.696,2.44
0.7,2.49
0.704,2.51
0.708,2.48
0.712,2.45
0.716,2.48
0.72,2.51
0.724,2.49
0.728,2.45
0.732,2.47
0.736,2.5
0.74,2.49
0.744,2.46
0.748,2.46
0.752,2.49
0.756,2.49
0.76,2.45
0.764,2.44
0.768,2.47
0.772,2.48
0.776,2.43
0.78,2.42
0.784,2.45
0.788,2.47
0.792,2.42
0.796,2.4
0.8,2.44
0.804,2.45
0.808,2.43
0.812,2.4
0.816,2.42
0.82,2.45
0.824,2.43
0.828,2.39
0.832,2.41
0.836,2.45
0.84,2.44
0.844,2.4
0.848,2.39
0.852,2.44
0.856,2.44
0.86,2.41
0.864,2.41
0.868,2.45
0.872,2.45
0.876,2.42
0.88,2.41
0.884,2.45
0.888,2.46
0.892,2.45
0.896,2.42
0.9,2.46
0.904,2.47
0.908,2.45
0.912,2.43
0.916,2.46
0.92,2.49
0.924,2.46
0.928,2.43
0.932,2.47
0.936,2.5
0.94,2.48
0.944,2.44
0.948,2.46
0.952,2.5
0.956,2.49
0.96,2.46
0.964,2.46
0.968,2.49
0.972,2.49
0.976,2.47
0.98,2.45
0.984,2.5
0.988,2.5
0.992,2.48
0.996,2.45
1,2.49
1.004,2.51
1.008,2.48
1.012,2.45
1.016,2.49
1.02,2.5
1.024,2.49
1.028,2.45
1.032,2.46
1.036,2.51
1.04,2.5
1.044,2.45
1.048,2.46
1.052,2.5
1.056,2.5
1.06,2.45
1.064,2.46
1.068,2.5
1.072,2.5
1.076,2.47
1.08,2.46
1.084,2.49
1.088,2.5
1.092,2.47
1.096,2.45
1.1,2.49
1.104,2.51
1.108,2.48
1.112,2.44
1.116,2.48
1.12,2.51
1.124,2.49
1.128,2.46
1.132,2.47
1.136,2.51
1.14,2.49
1.144,2.45
1.148,2.46
1.152,2.5
1.156,2.49
1.16,2.47
1.164,2.46
1.168,2.5
1.172,2.5
1.176,2.47
1.18,2.47
1.184,2.5
1.188,2.5
1.192,2.47
1.196,2.44
1.2,2.47
1.204,2.5
1.208,2.48
1.212,2.44
1.216,2.49
1.22,2.52
1.224,2.48
1.228,2.45
1.232,2.47
1.236,2.51
1.24,2.49
1.244,2.46
1.248,2.46
1.252,2.51
1.256,2.5
1.26,2.46
1.264,2.47
1.268,2.51
1.272,2.5
1.276,2.48
1.28,2.46
1.284,2.49
1.288,2.51
1.292,2.47
1.296,2.45
1.3,2.49
1.304,2.51
1.308,2.48
1.312,2.45
1.316,2.5
1.32,2.52
1.324,2.49
1.328,2.45
1.332,2.48
