Time (s), Voltage (V)
0.010008,0.002444
0.020012,0.002444
0.030012,-0.002444
0.040016,0.002444
0.050016,0.007331
0.06002,0.002444
0.070024,0.007331
0.080024,-0.002444
0.090032,0.012219
0.100036,0.007331
0.11004,0.002444
0.12004,0.002444
0.130044,0.002444
0.140048,-0.002444
0.150048,0.002444
0.160048,0.002444
0.170048,-0.002444
0.180048,0.002444
0.190056,0.002444
0.200056,0.002444
0.210056,0.002444
0.220056,-0.002444
0.230056,0.007331
0.240068,0.012219
0.250072,0.002444
0.260072,0.002444
0.270072,-0.002444
0.280072,-0.002444
0.290076,0.002444
0.30008,0.002444
0.310088,-0.007331
0.320092,-0.002444
0.330092,-0.007331
0.340096,-0.002444
0.350096,-0.002444
0.360096,-0.007331
0.3701,-0.007331
0.3801,-0.002444
0.390104,-0.007331
0.400108,-0.007331
0.410112,-0.012219
0.420116,-0.012219
0.43012,-0.002444
0.440124,-0.002444
0.450128,-0.002444
0.460128,-0.007331
0.470132,-0.002444
0.480136,-0.002444
0.490136,-0.002444
0.500136,-0.002444
0.510136,-0.002444
0.520136,0.002444
0.53014,-0.002444
0.54014,-0.002444
0.55014,0.002444
0.560144,-0.012219
0.570148,-0.002444
0.580148,-0.002444
0.590152,-0.002444
0.600156,0.002444
0.61016,-0.002444
0.620164,-0.007331
0.630172,0.002444
0.64018,-0.002444
0.65018,-0.002444
0.660188,0.002444
0.670188,-0.007331
0.680188,-0.002444
0.690192,0.002444
0.700192,-0.002444
0.710196,-0.002444
0.720196,0.002444
0.7302,-0.007331
0.740204,-0.002444
0.750212,0.007331
0.760212,-0.007331
0.770212,-0.002444
0.780216,-0.002444
0.790216,-0.002444
0.800216,0.002444
0.81022,-0.007331
0.82022,-0.002444
0.83022,-0.002444
0.84022,-0.007331
0.850224,-0.002444
0.860232,-0.002444
0.870232,-0.007331
0.880232,0.002444
0.890232,0.002444
0.900232,-0.002444
0.910236,-0.002444
0.92024,-0.007331
0.930244,-0.002444
0.940248,0.002444
0.950252,-0.007331
0.960256,-0.007331
0.970256,-0.007331
0.98026,-0.007331
0.99026,-0.002444
1.000268,-0.002444
1.010268,-0.012219
1.020268,-0.002444
1.030268,-0.012219
1.040272,-0.012219
1.050272,-0.002444
1.060276,-0.012219
1.070284,-0.007331
1.080292,-0.007331
1.090296,0.002444
1.1003,0.002444
1.110304,-0.007331
1.120308,-0.012219
1.130312,0.002444
1.140316,-0.007331
1.150316,-0.002444
1.160316,-0.002444
1.17032,-0.002444
1.180324,-0.007331
1.190336,-0.002444
1.200336,0.002444
1.210336,-0.012219
1.22034,-0.002444
1.230344,-0.007331
1.240348,-0.007331
1.250352,-0.002444
1.26036,-0.017107
1.270364,-0.007331
1.280368,-0.007331
1.290368,-0.007331
1.300368,-0.002444
1.310368,-0.002444
1.320368,-0.012219
1.330372,0.002444
1.340372,-0.007331
1.350376,-0.002444
1.36038,-0.007331
1.37038,-0.012219
1.380384,-0.007331
1.390388,0.007331
1.400388,-0.002444
1.410388,-0.007331
1.420392,-0.007331
1.430392,-0.012219
1.440396,-0.002444
1.450396,-0.007331
1.4604,-0.012219
1.470404,-0.012219
1.480404,-0.002444
1.490408,-0.012219
1.500408,-0.002444
1.510412,-0.017107
1.520412,-0.012219
1.530412,-0.007331
1.540416,-0.007331
1.550416,-0.012219
1.56042,-0.007331
1.57042,-0.021994
1.58042,-0.012219
1.590424,-0.012219
1.600428,-0.007331
1.610428,-0.012219
1.620428,-0.012219
1.630432,-0.007331
1.640432,-0.007331
1.650432,-0.007331
1.660432,-0.017107
1.670436,-0.007331
1.68044,-0.012219
1.690448,-0.012219
1.700448,-0.012219
1.710448,-0.017107
1.720452,-0.007331
1.730456,-0.012219
1.74046,-0.012219
1.750464,-0.007331
1.760464,-0.017107
1.770464,-0.017107
1.780464,-0.007331
1.790468,-0.012219
1.800468,-0.012219
1.810472,-0.012219
1.820476,-0.017107
1.83048,-0.007331
1.840484,-0.007331
1.850488,-0.012219
1.860492,-0.012219
1.870496,-0.007331
1.880496,-0.007331
1.890504,-0.007331
1.900504,-0.012219
1.910508,-0.012219
1.920508,-0.007331
1.930508,-0.012219
1.940512,-0.012219
1.950516,-0.007331
1.960516,-0.021994
1.970516,-0.012219
1.98052,-0.012219
1.99052,-0.017107
2.000524,-0.017107
2.010524,-0.012219
2.020524,-0.021994
2.030524,-0.017107
2.040524,-0.017107
2.050524,-0.017107
2.060528,-0.012219
2.070528,-0.017107
2.080532,-0.017107
2.090532,-0.012219
2.10054,-0.017107
2.11054,-0.017107
2.120544,-0.017107
2.130548,-0.017107
2.140548,-0.007331
2.150552,-0.012219
2.160556,-0.017107
2.17056,-0.012219
2.18056,-0.017107
2.19056,-0.007331
2.20056,-0.012219
2.210564,-0.021994
2.220568,-0.021994
2.230572,-0.017107
2.240572,-0.021994
2.250576,-0.017107
2.260576,-0.021994
2.27058,-0.026882
2.28058,-0.021994
2.290588,-0.017107
2.300592,-0.026882
2.310596,-0.017107
2.320596,-0.021994
2.3306,-0.017107
2.3406,-0.017107
2.3506,-0.017107
2.360604,-0.026882
2.370604,-0.021994
2.380604,-0.017107
2.390604,-0.017107
2.400608,-0.012219
2.410612,-0.021994
2.42062,-0.017107
2.43062,-0.012219
2.440624,-0.012219
2.450628,-0.012219
2.460636,-0.017107
2.470644,-0.017107
2.480648,-0.012219
2.490652,-0.017107
2.500656,-0.017107
