Time (s), Voltage (V)
0.010008,0.085533
0.020008,0.266373
0.030012,0.124633
0.040012,0.124633
0.050016,0.281036
0.060016,0.109971
0.07002,0.222385
0.08002,-0.021994
0.090024,0.05132
0.100032,0.256598
0.110036,0.017107
0.120036,0.109971
0.130044,0.100195
0.140044,0.065982
0.150048,0.139296
0.160048,0.026882
0.170052,0.217498
0.180056,-0.036657
0.19006,0.031769
0.20006,0.168622
0.210064,-0.002444
0.220072,0.105083
0.230076,0.021994
0.240076,-0.012219
0.250076,0.19306
0.260076,0.046432
0.27008,0.217498
0.280084,0.144184
0.290084,0.144184
0.300084,0.227273
0.310084,0.007331
0.320084,0.173509
0.330084,0.031769
0.340088,0.041544
0.350092,0.158847
0.360092,-0.002444
0.370096,0.144184
0.380096,-0.036657
0.390096,-0.007331
0.400096,0.095308
0.410096,-0.056207
0.4201,0.109971
0.430104,0.017107
0.440108,0.031769
0.450112,0.080645
0.460116,-0.075758
0.47012,0.036657
0.48012,0.100195
0.490124,0.041544
0.500124,0.021994
0.510128,-0.295699
0.520128,-0.261486
0.530132,-0.535191
0.540132,-0.554741
0.550136,-0.574291
0.560144,-0.579179
0.570148,-0.388563
0.580148,-0.3348
0.590148,-0.281036
0.600152,-0.119746
0.610152,-0.207722
0.620156,-0.026882
0.630156,-0.139296
0.640156,-0.07087
0.650156,0.065982
0.660156,-0.134409
0.670156,0.046432
0.68016,-0.036657
0.690164,-0.080645
0.700168,-0.012219
0.710168,-0.144184
0.720176,0.021994
0.730176,-0.075758
0.740176,-0.114858
0.75018,0.061095
0.760184,-0.19306
0.770188,0.075758
0.780188,-0.056207
0.790192,-0.100195
0.800196,0.065982
0.8102,-0.095308
0.8202,0.046432
0.8302,-0.07087
0.8402,-0.021994
0.850208,0.061095
0.860212,-0.105083
0.870212,-0.046432
0.880216,-0.178397
0.89022,-0.061095
0.90022,0.085533
0.91022,-0.100195
0.92022,0.061095
0.930224,-0.041544
0.940228,0.026882
0.950228,0.017107
0.960228,-0.05132
0.970228,0.09042
0.980228,0.026882
0.990228,-0.065982
1.000228,0.114858
1.010232,-0.031769
1.020236,0.100195
1.030236,-0.046432
1.04024,-0.056207
1.05024,0.109971
1.060244,-0.065982
1.070244,0.046432
1.080248,-0.100195
1.090248,-0.041544
1.100248,0.031769
1.110256,-0.100195
1.12026,0.036657
1.130264,-0.075758
1.140268,-0.075758
1.150272,-0.021994
1.160276,-0.139296
1.17028,-0.012219
1.180288,-0.105083
1.190288,-0.129521
